Participant_ID,Group,IMI_Score_Item_1,IMI_Score_Item_2,IMI_Score_Item_3,IMI_Score_Item_4,IMI_Score_Item_5,IMI_Score_Item_6,IMI_Score_Item_7,IMI_Score_Item_8,IMI_Score_Item_9,IMI_Score_Item_10,IMI_Score_Item_11,IMI_Score_Item_12,IMI_Score_Item_13,IMI_Score_Item_14,IMI_Score_Item_15,IMI_Score_Item_16,IMI_Score_Item_17,IMI_Score_Item_18,IMI_Score_Item_19,IMI_Score_Item_20,IMI_Score_Item_21,IMI_Score_Item_22,IMI_Score_Item_23,IMI_Score_Item_24,IMI_Score,PAS_Score_Item_1,PAS_Score_Item_2,PAS_Score_Item_3,PAS_Score_Item_4,PAS_Score_Item_5,PAS_Score_Item_6,PAS_Score_Item_7,PAS_Score_Item_8,PAS_Score_Item_9,PAS_Score_Item_10,PAS_Score_Item_11,PAS_Score,CLS_Score_Item_1,CLS_Score_Item_2,CLS_Score_Item_3,CLS_Score_Item_4,CLS_Score_Item_5,CLS_Score_Item_6,CLS_Score_Item_7,CLS_Score_Item_8,CLS_Score_Item_9,CLS_Score,SPQ_Score_Item_1,SPQ_Score_Item_2,SPQ_Score_Item_3,SPQ_Score_Item_4,SPQ_Score_Item_5,SPQ_Score_Item_6,SPQ_Score_Item_7,SPQ_Score_Item_8,SPQ_Score_Item_9,SPQ_Score_Item_10,SPQ_Score_Item_11,SPQ_Score_Item_12,SPQ_Score,TAM_Score_Item_1,TAM_Score_Item_2,TAM_Score_Item_3,TAM_Score_Item_4,TAM_Score_Item_5,TAM_Score_Item_6,TAM_Score_Item_7,TAM_Score_Item_8,TAM_Score_Item_9,TAM_Score_Item_10,TAM_Score_Item_11,TAM_Score_Item_12,TAM_Score,Performance_T3
P00001,AI-Assisted (GPT-3.5),6,5,6,7,5,5,7,7,5,6,5,5,6,3,3,5,4,6,4,3,7,5,6,3,5.166666666666667,2,3,1,3,2,2,2,5,2,1,4,2.4545454545454546,3.0,6.0,2.0,3.0,6.0,6.0,5.0,5.0,5.0,4.555555555555555,3.0,4.0,4.0,6.0,5.0,2.0,5.0,4.0,4.0,6.0,6.0,6.0,4.583333333333333,4.0,5.0,6.0,7.0,5.0,5.0,4.0,3.0,6.0,7.0,5.0,7.0,5.333333333333333,87.01
P00002,AI-Assisted (GPT-3.5),5,6,7,5,7,2,7,6,5,6,3,5,6,7,5,4,5,7,6,5,6,6,7,4,5.5,2,2,1,3,3,2,2,1,2,2,1,1.9090909090909092,5.0,6.0,7.0,5.0,6.0,5.0,2.0,5.0,5.0,5.111111111111111,7.0,5.0,5.0,5.0,3.0,7.0,6.0,6.0,4.0,7.0,3.0,6.0,5.333333333333333,7.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,6.0,4.0,7.0,4.0,4.75,79.87
P00003,AI-Assisted (GPT-3.5),7,4,6,7,3,6,6,7,4,4,6,6,6,6,4,6,6,4,7,6,4,6,4,7,5.5,4,1,4,3,4,5,2,1,1,1,2,2.5454545454545454,6.0,6.0,6.0,5.0,7.0,5.0,7.0,6.0,4.0,5.777777777777778,3.0,6.0,5.0,6.0,6.0,5.0,4.0,3.0,4.0,6.0,5.0,3.0,4.666666666666667,5.0,6.0,4.0,5.0,5.0,4.0,6.0,6.0,7.0,7.0,3.0,4.0,5.166666666666667,88.61
P00005,AI-Assisted (GPT-3.5),6,5,6,5,6,6,7,4,7,3,5,6,6,5,5,5,5,7,6,4,7,6,7,6,5.625,1,2,4,3,2,3,4,2,3,2,2,2.5454545454545454,7.0,6.0,6.0,7.0,5.0,6.0,5.0,6.0,5.0,5.888888888888889,5.0,6.0,4.0,7.0,3.0,3.0,7.0,6.0,6.0,6.0,5.0,4.0,5.166666666666667,5.0,4.0,7.0,5.0,4.0,5.0,6.0,4.0,4.0,6.0,6.0,4.0,5.0,78.32
P00006,AI-Assisted (GPT-3.5),6,3,3,4,5,6,7,7,5,5,4,5,5,6,4,6,7,5,6,7,5,6,6,6,5.375,1,2,3,5,4,6,1,4,3,6,1,3.272727272727273,4.0,4.0,2.0,4.0,4.0,5.0,6.0,7.0,7.0,4.777777777777778,4.0,4.0,6.0,3.0,7.0,7.0,4.0,2.0,7.0,5.0,7.0,2.0,4.833333333333333,4.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,4.0,3.0,4.833333333333333,96.56
P00007,AI-Assisted (GPT-3.5),6,4,7,6,7,6,7,7,5,7,6,7,4,7,7,3,4,2,5,7,7,6,7,3,5.708333333333333,1,2,3,2,1,2,1,3,3,1,2,1.9090909090909092,4.0,5.0,7.0,4.0,6.0,4.0,4.0,5.0,4.0,4.777777777777778,4.0,3.0,7.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,4.0,4.0,4.833333333333333,5.0,2.0,3.0,7.0,7.0,5.0,6.0,6.0,7.0,7.0,5.0,4.0,5.333333333333333,66.48
P00008,AI-Assisted (GPT-3.5),6,4,3,5,4,7,7,5,7,6,4,7,6,4,5,4,3,7,7,3,6,5,5,5,5.208333333333333,1,2,1,3,2,2,1,2,4,3,1,2.0,5.0,6.0,3.0,6.0,4.0,6.0,4.0,3.0,3.0,4.444444444444445,5.0,5.0,4.0,6.0,2.0,5.0,3.0,4.0,5.0,4.0,4.0,6.0,4.416666666666667,4.0,6.0,4.0,6.0,7.0,2.0,4.0,6.0,5.0,6.0,4.0,5.0,4.916666666666667,81.61
P00010,AI-Assisted (GPT-3.5),6,7,7,7,5,4,5,6,7,3,7,5,5,4,3,7,6,4,4,5,7,5,3,5,5.291666666666667,2,1,2,2,3,5,4,2,1,6,3,2.8181818181818183,5.0,5.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,4.666666666666667,5.0,4.0,7.0,1.0,7.0,7.0,2.0,4.0,4.0,3.0,4.0,3.0,4.25,7.0,7.0,7.0,6.0,4.0,4.0,6.0,3.0,6.0,5.0,5.0,6.0,5.5,87.87
P00011,AI-Assisted (GPT-3.5),5,7,4,6,6,5,6,4,7,5,5,7,4,3,3,6,4,7,2,7,6,5,5,6,5.208333333333333,2,4,3,3,2,2,3,1,1,4,3,2.5454545454545454,5.0,5.0,6.0,4.0,4.0,6.0,4.0,6.0,3.0,4.777777777777778,6.0,6.0,5.0,6.0,7.0,6.0,2.0,3.0,4.0,5.0,6.0,4.0,5.0,6.0,4.0,4.0,3.0,4.0,3.0,4.0,7.0,4.0,7.0,6.0,6.0,4.833333333333333,74.28
P00012,AI-Assisted (GPT-3.5),7,5,6,7,5,7,4,5,7,5,7,7,5,6,7,6,3,4,5,5,6,6,3,6,5.583333333333333,3,3,4,4,3,2,1,3,3,3,1,2.727272727272727,4.0,7.0,5.0,6.0,5.0,5.0,7.0,4.0,5.0,5.333333333333333,4.0,4.0,4.0,5.0,4.0,7.0,4.0,5.0,4.0,7.0,5.0,6.0,4.916666666666667,3.0,6.0,7.0,5.0,7.0,4.0,7.0,7.0,5.0,5.0,7.0,7.0,5.833333333333333,77.78
P00013,AI-Assisted (GPT-3.5),5,5,3,4,4,4,5,6,7,4,7,5,5,6,4,6,6,6,6,7,5,5,5,5,5.208333333333333,1,4,5,2,1,3,2,3,3,1,5,2.727272727272727,7.0,4.0,5.0,6.0,6.0,6.0,7.0,5.0,4.0,5.555555555555555,3.0,4.0,5.0,7.0,4.0,5.0,5.0,7.0,7.0,4.0,4.0,6.0,5.083333333333333,6.0,7.0,6.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,6.333333333333333,81.49
P00015,AI-Assisted (GPT-3.5),4,7,5,3,6,4,7,5,5,3,5,2,3,7,7,6,4,5,5,4,7,7,5,6,5.083333333333333,3,1,2,1,1,2,5,3,2,3,5,2.5454545454545454,7.0,5.0,4.0,6.0,6.0,7.0,6.0,7.0,4.0,5.777777777777778,7.0,5.0,7.0,4.0,7.0,5.0,4.0,4.0,4.0,6.0,6.0,4.0,5.25,5.0,7.0,7.0,6.0,5.0,5.0,6.0,4.0,5.0,3.0,6.0,6.0,5.416666666666667,78.19
P00016,AI-Assisted (GPT-3.5),7,4,3,6,7,7,5,7,5,5,7,6,3,7,7,5,6,6,6,5,4,5,7,6,5.666666666666667,2,4,1,4,1,2,1,1,4,2,3,2.272727272727273,5.0,6.0,5.0,3.0,7.0,4.0,3.0,5.0,7.0,5.0,6.0,4.0,4.0,4.0,7.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,5.083333333333333,5.0,6.0,5.0,6.0,5.0,5.0,2.0,7.0,6.0,7.0,1.0,7.0,5.166666666666667,81.78
P00017,AI-Assisted (GPT-3.5),7,4,6,4,5,7,5,6,7,6,6,6,7,5,6,7,7,7,6,4,7,4,6,4,5.791666666666667,2,3,3,3,5,3,2,4,4,1,3,3.0,6.0,5.0,7.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,7.0,4.0,3.0,2.0,4.0,3.0,7.0,6.0,4.0,7.0,6.0,4.0,4.75,1.0,7.0,3.0,3.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,5.5,84.32
P00018,AI-Assisted (GPT-3.5),5,4,5,3,5,4,4,6,7,7,3,4,7,4,5,6,4,6,3,5,6,3,6,5,4.875,3,3,4,3,2,3,3,2,2,1,1,2.4545454545454546,3.0,7.0,3.0,4.0,4.0,7.0,5.0,7.0,4.0,4.888888888888889,5.0,4.0,7.0,3.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.083333333333333,7.0,4.0,3.0,5.0,7.0,4.0,7.0,7.0,4.0,6.0,7.0,5.0,5.5,81.11
P00020,AI-Assisted (GPT-3.5),7,7,6,6,4,4,5,5,5,6,6,5,6,6,3,4,5,4,6,7,7,5,7,6,5.5,2,1,2,2,3,3,2,3,4,4,1,2.4545454545454546,1.0,7.0,3.0,5.0,3.0,3.0,6.0,6.0,4.0,4.222222222222222,1.0,4.0,5.0,3.0,5.0,5.0,6.0,5.0,3.0,7.0,5.0,5.0,4.5,4.0,5.0,4.0,5.0,7.0,3.0,3.0,7.0,5.0,4.0,7.0,4.0,4.833333333333333,100.0
P00021,AI-Assisted (GPT-3.5),7,5,7,5,7,6,7,7,6,4,6,4,7,6,5,6,3,4,7,5,4,6,7,7,5.75,4,1,1,5,2,2,4,3,3,6,1,2.909090909090909,7.0,5.0,6.0,7.0,6.0,6.0,7.0,5.0,4.0,5.888888888888889,3.0,2.0,7.0,3.0,5.0,4.0,5.0,6.0,6.0,4.0,5.0,5.0,4.583333333333333,5.0,7.0,6.0,6.0,6.0,7.0,6.0,3.0,6.0,4.0,4.0,6.0,5.5,96.15
P00022,AI-Assisted (GPT-3.5),6,6,7,6,7,6,3,7,6,7,6,5,4,5,4,5,6,7,6,4,6,7,5,5,5.666666666666667,2,1,3,2,3,1,2,3,2,5,2,2.3636363636363638,6.0,7.0,3.0,3.0,3.0,7.0,4.0,7.0,4.0,4.888888888888889,5.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,5.75,5.0,6.0,7.0,5.0,7.0,4.0,5.0,4.0,2.0,5.0,5.0,7.0,5.166666666666667,89.81
P00023,AI-Assisted (GPT-3.5),4,7,7,6,5,4,5,7,7,7,5,4,6,3,6,5,5,3,6,5,4,1,5,7,5.166666666666667,5,2,2,3,1,3,4,4,2,2,1,2.6363636363636362,4.0,5.0,6.0,7.0,4.0,7.0,5.0,5.0,4.0,5.222222222222222,1.0,6.0,6.0,4.0,5.0,6.0,3.0,4.0,6.0,3.0,5.0,3.0,4.333333333333333,6.0,5.0,3.0,7.0,4.0,4.0,6.0,7.0,4.0,5.0,6.0,6.0,5.25,85.07
P00025,AI-Assisted (GPT-3.5),6,7,4,7,7,5,2,5,7,5,4,5,7,6,5,5,5,4,7,5,7,7,7,5,5.583333333333333,3,2,1,3,1,4,2,3,3,2,3,2.4545454545454546,5.0,7.0,3.0,5.0,7.0,4.0,4.0,6.0,6.0,5.222222222222222,5.0,6.0,6.0,7.0,5.0,5.0,6.0,7.0,5.0,3.0,7.0,5.0,5.583333333333333,2.0,7.0,4.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.333333333333333,73.48
P00026,AI-Assisted (GPT-3.5),7,5,7,6,7,5,5,5,5,7,3,4,4,7,7,5,5,6,7,4,6,7,6,6,5.666666666666667,4,1,3,1,1,3,4,2,4,5,4,2.909090909090909,7.0,6.0,5.0,3.0,5.0,4.0,7.0,5.0,5.0,5.222222222222222,6.0,5.0,7.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.5,5.0,3.0,6.0,5.0,3.0,5.0,4.0,6.0,7.0,2.0,5.0,5.0,4.666666666666667,90.24
P00027,AI-Assisted (GPT-3.5),6,4,5,4,7,6,7,5,4,3,3,3,6,6,3,7,5,6,7,7,5,4,2,4,4.958333333333333,2,1,2,3,2,1,3,3,1,5,2,2.272727272727273,5.0,6.0,6.0,7.0,6.0,4.0,6.0,4.0,5.0,5.444444444444445,5.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,7.0,4.0,6.0,6.0,4.75,4.0,7.0,3.0,7.0,7.0,4.0,7.0,5.0,6.0,6.0,5.0,6.0,5.583333333333333,91.51
P00028,AI-Assisted (GPT-3.5),3,7,3,7,7,4,5,4,5,5,7,7,7,5,5,3,4,7,7,4,5,5,6,4,5.25,3,2,2,3,2,2,2,2,2,2,5,2.4545454545454546,6.0,5.0,6.0,5.0,7.0,6.0,5.0,6.0,3.0,5.444444444444445,3.0,3.0,5.0,7.0,7.0,6.0,6.0,2.0,4.0,4.0,4.0,5.0,4.666666666666667,5.0,2.0,6.0,4.0,6.0,7.0,4.0,1.0,5.0,7.0,7.0,3.0,4.75,88.42
P00030,AI-Assisted (GPT-3.5),5,4,5,3,6,5,4,6,7,3,4,4,4,7,5,5,2,6,4,6,6,7,4,1,4.708333333333333,3,5,4,3,2,4,1,3,3,4,7,3.5454545454545454,6.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,4.444444444444445,7.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,4.583333333333333,7.0,6.0,6.0,7.0,5.0,6.0,5.0,6.0,4.0,2.0,5.0,7.0,5.5,92.9
P00031,AI-Assisted (GPT-3.5),7,7,6,6,5,5,6,7,5,5,5,6,3,2,5,4,5,5,5,7,6,6,6,4,5.333333333333333,4,2,3,1,1,4,3,1,1,4,1,2.272727272727273,7.0,4.0,6.0,5.0,6.0,4.0,5.0,5.0,4.0,5.111111111111111,6.0,4.0,5.0,3.0,1.0,5.0,7.0,6.0,5.0,4.0,5.0,6.0,4.75,3.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,5.0,7.0,5.5,70.31
P00032,AI-Assisted (GPT-3.5),3,6,6,6,6,5,7,3,4,5,3,5,7,6,6,4,5,5,5,7,6,4,6,6,5.25,4,5,1,1,1,2,3,4,2,2,3,2.5454545454545454,4.0,7.0,3.0,6.0,7.0,5.0,5.0,5.0,5.0,5.222222222222222,7.0,2.0,7.0,3.0,4.0,4.0,6.0,2.0,6.0,7.0,3.0,5.0,4.666666666666667,4.0,6.0,5.0,4.0,6.0,7.0,5.0,6.0,3.0,4.0,6.0,7.0,5.25,86.94
P00033,AI-Assisted (GPT-3.5),5,5,4,6,7,5,5,6,5,5,7,5,5,5,7,5,5,7,7,5,3,7,4,7,5.5,1,4,1,4,2,1,2,3,3,3,5,2.6363636363636362,3.0,7.0,5.0,4.0,3.0,5.0,7.0,5.0,7.0,5.111111111111111,3.0,5.0,3.0,5.0,6.0,4.0,1.0,5.0,6.0,5.0,7.0,3.0,4.416666666666667,6.0,7.0,3.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,4.916666666666667,90.32
P00035,AI-Assisted (GPT-3.5),5,4,7,5,7,6,7,3,7,6,5,6,3,6,4,3,3,7,5,7,5,3,4,7,5.208333333333333,2,2,3,3,4,5,2,1,2,3,1,2.5454545454545454,4.0,6.0,5.0,5.0,4.0,5.0,4.0,7.0,7.0,5.222222222222222,2.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,3.75,4.0,5.0,7.0,7.0,3.0,6.0,6.0,4.0,6.0,7.0,4.0,4.0,5.25,93.85
P00036,AI-Assisted (GPT-3.5),6,6,6,6,3,7,7,5,5,3,6,6,5,7,5,6,4,5,5,6,5,5,7,5,5.458333333333333,1,5,4,1,3,2,3,3,2,1,1,2.3636363636363638,4.0,4.0,5.0,4.0,6.0,7.0,4.0,6.0,6.0,5.111111111111111,6.0,5.0,6.0,6.0,3.0,6.0,6.0,4.0,5.0,6.0,5.0,6.0,5.333333333333333,7.0,4.0,3.0,6.0,6.0,5.0,7.0,3.0,6.0,4.0,7.0,7.0,5.416666666666667,75.24
P00037,AI-Assisted (GPT-3.5),5,7,5,5,6,3,5,4,5,7,4,7,5,5,7,6,6,7,5,5,4,4,7,7,5.458333333333333,1,1,3,3,3,2,2,3,3,1,2,2.1818181818181817,4.0,5.0,7.0,6.0,5.0,7.0,6.0,6.0,6.0,5.777777777777778,7.0,3.0,6.0,3.0,6.0,3.0,4.0,4.0,6.0,6.0,3.0,5.0,4.666666666666667,4.0,3.0,5.0,5.0,7.0,6.0,3.0,4.0,7.0,7.0,3.0,2.0,4.666666666666667,100.0
P00038,AI-Assisted (GPT-3.5),6,4,6,2,5,6,7,4,6,4,6,4,5,4,6,7,5,6,3,5,5,7,4,7,5.166666666666667,4,3,5,3,3,2,4,4,1,1,2,2.909090909090909,4.0,5.0,7.0,5.0,5.0,5.0,7.0,2.0,4.0,4.888888888888889,5.0,7.0,4.0,2.0,6.0,4.0,3.0,4.0,5.0,4.0,2.0,6.0,4.333333333333333,7.0,6.0,4.0,5.0,5.0,6.0,6.0,4.0,5.0,6.0,7.0,6.0,5.583333333333333,91.47
P00050,AI-Assisted (Claude 3),7,6,7,7,5,4,6,7,6,3,4,5,5,7,3,6,7,7,5,6,6,6,5,6,5.666666666666667,1,3,2,2,5,1,2,5,1,1,2,2.272727272727273,7.0,6.0,3.0,5.0,4.0,5.0,6.0,6.0,3.0,5.0,7.0,5.0,7.0,6.0,7.0,6.0,7.0,6.0,5.0,7.0,6.0,6.0,6.25,3.0,3.0,6.0,6.0,4.0,6.0,7.0,6.0,4.0,5.0,4.0,5.0,4.916666666666667,80.1
P00051,AI-Assisted (Claude 3),5,4,5,5,1,7,7,5,6,4,7,7,6,7,6,4,5,6,5,5,5,5,6,4,5.291666666666667,1,1,4,1,4,4,2,1,2,2,1,2.090909090909091,5.0,7.0,6.0,4.0,3.0,5.0,5.0,6.0,5.0,5.111111111111111,6.0,7.0,6.0,5.0,5.0,4.0,7.0,4.0,5.0,5.0,4.0,3.0,5.083333333333333,6.0,5.0,6.0,4.0,7.0,4.0,7.0,3.0,6.0,6.0,4.0,6.0,5.333333333333333,98.37
P00052,AI-Assisted (Claude 3),2,6,2,4,7,5,4,5,7,3,4,7,7,5,4,7,7,7,4,6,5,6,7,7,5.333333333333333,1,4,3,3,4,1,2,2,1,3,6,2.727272727272727,3.0,5.0,6.0,6.0,5.0,3.0,6.0,4.0,2.0,4.444444444444445,7.0,6.0,5.0,5.0,7.0,5.0,6.0,4.0,7.0,5.0,5.0,3.0,5.416666666666667,6.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,3.0,5.0,3.0,4.0,4.833333333333333,74.66
P00053,AI-Assisted (Claude 3),7,5,7,6,7,3,7,7,4,7,6,5,4,4,7,6,7,4,4,7,4,5,6,6,5.625,2,3,3,3,1,2,4,4,1,3,1,2.4545454545454546,5.0,7.0,4.0,4.0,6.0,3.0,4.0,6.0,4.0,4.777777777777778,5.0,6.0,6.0,5.0,4.0,5.0,5.0,6.0,4.0,5.0,3.0,5.0,4.916666666666667,4.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,5.416666666666667,84.64
P00055,AI-Assisted (Claude 3),6,7,4,2,7,4,3,6,7,5,5,5,5,4,5,6,6,6,4,5,2,6,7,3,5.0,1,3,4,2,1,1,2,5,3,2,3,2.4545454545454546,5.0,4.0,7.0,6.0,5.0,4.0,7.0,6.0,5.0,5.444444444444445,6.0,4.0,4.0,4.0,2.0,6.0,2.0,3.0,2.0,5.0,5.0,4.0,3.9166666666666665,4.0,4.0,6.0,4.0,6.0,4.0,6.0,7.0,6.0,5.0,6.0,5.0,5.25,84.65
P00056,AI-Assisted (Claude 3),5,5,6,4,4,3,3,4,6,4,6,6,3,7,7,4,6,4,6,4,3,5,5,5,4.791666666666667,1,2,3,2,3,1,4,1,3,4,3,2.4545454545454546,5.0,5.0,7.0,3.0,4.0,5.0,7.0,6.0,4.0,5.111111111111111,4.0,4.0,4.0,6.0,3.0,7.0,6.0,7.0,4.0,5.0,3.0,4.0,4.75,6.0,7.0,4.0,5.0,5.0,3.0,6.0,4.0,5.0,5.0,4.0,5.0,4.916666666666667,82.24
